NOM_ENT,LONGITUD_DECIMAL,LATITUD_DECIMAL
COAH,-101.5500286,27.06025722
GRO,-101.2745519,17.53820667
VER,-94.39675389,18.15581167
MEX,-99.61910889,19.24536444
MEX,-99.87425389,19.80002861
CHIH,-105.4802911,28.26779667
TAB,-92.65218722,18.53011083
MEX,-99.53039583,19.40441917
TAB,-92.93287111,17.85294472
PUE,-98.03097528,19.83822333
QROO,-87.23519139,20.51278194
VER,-96.94088444,19.59160667
JAL,-104.2155556,19.8075
HGO,-98.71945389,20.06483167
MEX,-99.60510583,19.32671667
CHIH,-105.9112925,28.83838056
GRO,-100.2839519,18.315825
VER,-94.63569417,17.998595
MEX,-99.68686972,19.29252111
NL,-100.1433942,25.85464889
TAB,-91.76508139,17.74458222
NL,-100.2148556,25.79626389
SIN,-108.8208392,25.75512667
MEX,-99.5724975,19.31241194
MEX,-98.75615167,19.2096875
ZAC,-102.2529339,22.57196667
GRO,-100.4331294,17.21273889
QRO,-100.4473497,20.74217778
CHIH,-104.4156647,29.56450056
HGO,-98.72123444,20.04521361
NAY,-105.2980872,21.94479028
MOR,-99.23146278,18.78186556
JAL,-103.2761111,20.55861111
GTO,-101.063975,20.37651667
CHIS,-92.14105,15.66016389
MEX,-98.92497833,19.37915111
VER,-97.24552611,19.76614889
VER,-97.00723278,19.42126944
MEX,-98.9821925,19.77324556
QRO,-100.2900819,20.62874444
YUC,-88.92398528,20.12591833
VER,-96.99934556,18.90366306
COAH,-100.8541667,28.34722222
MOR,-99.19427889,18.65540806
QRO,-100.3994356,20.554775
VER,-97.74231861,21.19146667
PUE,-97.29917972,18.36676694
NL,-100.3080336,25.86437444
VER,-97.16255639,18.82253722
MEX,-99.46440833,19.19312333
JAL,-103.2788889,20.54138889
MICH,-102.0484675,19.64729667
CHIS,-92.36958056,16.36413194
NL,-100.2211167,25.82279167
AGS,-102.7187506,21.84690722
TAB,-93.17430028,18.06536333
MOR,-99.20958861,18.86658583
VER,-96.21088,19.1902175
VER,-95.76392917,18.7742775
MEX,-99.6630375,19.24918389
HGO,-98.93569861,19.87332444
MEX,-98.96168361,19.76151278
MEX,-99.14726278,19.81042583
HGO,-98.30973806,20.03547
JAL,-103.3697222,20.54555556
MOR,-99.32370139,18.616875
JAL,-103.2047222,20.505
VER,-97.44163333,20.95379639
