LONGITUD_DECIMAL,LATITUD_DECIMAL
-101.9066689,22.03918361
-101.9289786,22.05760667
-102.1825856,22.09028694
-101.9123939,22.0601525
-102.0909294,22.08259361
-102.0707925,22.09556278
-102.0840056,22.10499833
-101.8803225,22.04674333
-102.0803161,22.186145
-102.0747042,22.19225167
-102.0095406,22.04502806
-102.004035,22.04249444
-102.1954333,22.13448667
-102.0128392,22.17669889
-102.0241708,22.06083694
-102.0336192,22.13515111
-102.1468383,22.08576111
-102.0586244,22.1055175
-102.0416436,22.11449639
-102.0398175,22.11820083
-102.0463753,22.11520389
-101.9870639,22.05407417
-102.0982269,22.08144667
-101.9780967,22.11644417
-102.1537092,22.10754278
-102.1426086,22.09788472
-102.0496228,22.13753472
-102.0379694,22.12018333
-101.9000644,22.0285025
-102.039635,22.15031389
-102.0337506,22.28704972
-102.0417017,22.26511667
-102.0367311,22.28140639
-102.0402281,22.25377361
-102.03511,22.28295889
-102.0315717,22.27765611
-101.9913633,22.04928028
-102.0529908,22.09892
-102.0132206,22.10229056
-101.9976544,22.12125
-102.0439947,22.07677611
-102.0954386,22.05785361
-102.0358825,22.17285167
-101.9988447,22.11367333
-102.0432636,22.26472111
-102.0246042,22.23760972
-102.0334244,22.258895
-102.09038,22.05944944
-102.0197678,22.09804556
-102.0376597,22.18394778
-102.0475281,22.10652139
-102.0986272,22.23575944
-101.9957528,22.09623417
-102.0353919,22.27696194
-102.1019203,22.06238139
-101.9883336,22.0940275
-102.0020519,22.09794306
-102.1130342,22.07836556
-101.9838875,22.11356139
-101.9544158,22.07698111
-102.0556281,22.11101222
-101.9811447,22.06033111
-102.0974072,22.07309528
-101.8833603,22.03496278
-102.0202281,22.24139639
-102.0105489,22.23997528
-102.0151933,22.23134306
-102.0557689,22.29102167
-102.0098308,22.07110111
-102.0657003,22.1659725
-102.0135331,22.07589417
-102.0825522,22.08441972
-101.9937222,22.05748611
-102.0383158,22.25360361
-102.036715,22.16196444
-101.9738861,22.08699417
-102.0490728,22.05032917
-102.0759658,22.09837694
-102.0617589,22.09115806
-102.0730692,22.08510194
-102.0465392,22.10936556
-102.1456964,22.08706361
-102.0211272,22.22667889
-102.0361325,22.29432944
-102.0306428,22.25798694
-102.0264211,22.23300333
-102.0230461,22.23082333
-102.0392458,22.21839667
-102.0975939,22.05510694
-102.0354064,22.25737361
-102.0531683,22.0850025
-102.0879294,22.07113667
-102.0331064,22.19359472
-101.966495,22.07568472
-102.0184592,22.11665722
-102.0611861,22.10408333
-102.0260331,22.19562111
-101.9700589,22.03146528
-102.0842311,22.080005
-101.9756758,22.029035
-102.0747731,22.10648528
-102.0658547,22.08804306
-102.0206467,22.11313
-101.8953447,22.03095889
-101.97155,22.07120194
-102.0392522,22.07691778
-102.2033628,22.15834278
-101.9814628,22.09336444
-102.0665739,22.2872175
-102.0384619,22.14109361
-102.0201961,22.18371472
-102.0481842,22.14176167
-101.9486503,22.074695
-102.0198589,22.05991417
-102.0899717,22.15014194
-102.2014264,22.15635417
-102.0533564,22.08537333
-102.0242997,22.18569139
-102.0894911,22.11654611
-102.0513094,22.26360389
-102.0285967,22.28030694
-102.0722719,22.2823775
-102.0574433,22.276915
-102.0306289,22.28411833
-102.0084822,22.10119861
-102.0688089,22.10485417
-102.0968783,22.05898889
-102.0355497,22.06937694
-102.7187506,21.84690722
-102.7028153,21.80748889
-102.7288364,21.74728444
-102.7601083,21.84275222
-102.7472261,21.76750611
-102.7620006,21.84987778
-102.7775725,21.80681472
-102.7252911,21.87639389
-102.8024128,21.84121556
-102.8247131,21.93878778
-102.6597019,21.88387444
-102.6835442,21.86123694
-102.7023156,21.87215889
-102.8073119,21.78951417
-102.7938033,21.90391472
-102.6700256,21.96728944
-102.8054706,21.77740694
-102.7881956,21.77594611
-102.6660281,21.88525694
-102.6943153,21.96185917
-102.6368278,21.9016475
-102.6644411,21.86034028
-102.8002875,21.79897361
-102.749745,21.76393361
-102.7203669,21.802995
-102.7221669,21.7832075
-102.8324236,21.89088444
-102.6753164,21.87745611
-102.7110889,21.83742361
-102.7848625,21.79493444
-102.6824119,22.04245167
-102.6934414,21.86605861
-102.7500956,21.85235833
-102.6768983,21.97915028
